Image ID,Label,Xmin,Ymin,Xmax,Ymax
1,5,259.4521179199219,302.010498046875,286.98663330078125,337.0003662109375
2,3,504.6925048828125,73.67295837402344,551.0429077148438,231.51687622070312
2,2,521.0869140625,318.77349853515625,560.69384765625,355.25823974609375
3,5,227.27020263671875,302.9289245605469,263.63885498046875,351.0246887207031
4,5,0.0,306.0224914550781,145.404541015625,459.6477355957031
5,3,551.59326171875,112.9723892211914,564.2907104492188,148.86642456054688
5,3,499.714111328125,152.583984375,508.76763916015625,180.36471557617188
5,3,96.89759826660156,177.79391479492188,103.0662841796875,200.66262817382812
5,3,127.52497100830078,196.58775329589844,133.64950561523438,216.6617889404297
5,3,327.8968505859375,224.82334899902344,331.627685546875,241.58143615722656
6,3,52.383148193359375,145.29542541503906,62.18592071533203,173.23379516601562
6,3,92.36038970947266,168.74008178710938,101.11109161376953,193.15087890625
6,2,211.08201599121094,346.287841796875,389.5076904296875,534.3062744140625
6,3,351.9028015136719,197.3409423828125,357.62286376953125,216.57113647460938
7,2,281.0759582519531,355.166259765625,320.7314453125,495.56817626953125
7,5,152.720703125,305.7352294921875,210.96517944335938,364.18548583984375
7,3,365.464111328125,234.7252197265625,382.1900634765625,283.2987060546875
8,5,190.6456298828125,312.872314453125,406.0659484863281,600.0
8,5,237.37701416015625,307.67718505859375,361.686767578125,382.91497802734375
9,5,327.903564453125,309.019287109375,422.162109375,422.9283142089844
10,5,146.8023681640625,322.0115966796875,224.90243530273438,392.6000061035156
10,3,501.63934326171875,107.70698547363281,549.34375,251.60833740234375
10,5,517.139404296875,305.54913330078125,575.6991577148438,350.23992919921875
11,5,1.619908332824707,295.55096435546875,54.73710250854492,351.8614196777344
12,3,429.000732421875,154.84707641601562,436.5634460449219,182.34683227539062
12,1,9.107379913330078,378.6603088378906,97.31314086914062,527.2371826171875
12,3,403.10833740234375,179.62338256835938,409.00634765625,200.6462860107422
12,3,461.59954833984375,125.7003173828125,471.28729248046875,156.68771362304688
12,3,274.38958740234375,217.11233520507812,278.31427001953125,231.01315307617188
12,3,305.0517578125,216.3681640625,309.51593017578125,234.76022338867188
12,3,238.85699462890625,216.3992156982422,242.51171875,229.7130889892578
13,5,311.6474609375,288.4889221191406,438.2618408203125,456.930908203125
14,4,431.6661376953125,248.4473876953125,469.6004638671875,312.76922607421875
14,5,258.92242431640625,298.9991149902344,292.2743835449219,331.803466796875
16,5,483.4708557128906,294.15850830078125,584.4954833984375,365.3354797363281
16,2,290.5210876464844,309.670166015625,305.479736328125,343.33837890625
17,5,228.0542449951172,262.65521240234375,372.22784423828125,483.856201171875
17,3,105.74549102783203,175.40919494628906,113.05620574951172,200.23727416992188
18,3,508.9327697753906,95.68562316894531,553.9713134765625,239.448974609375
19,5,214.08981323242188,311.23016357421875,386.21575927734375,529.424072265625
19,3,474.1905212402344,148.3858184814453,481.5849609375,175.24966430664062
19,3,444.552734375,172.7799530029297,448.926513671875,195.040771484375
19,3,316.8037109375,242.068115234375,318.8444519042969,251.32601928710938
19,3,315.72332763671875,241.4649658203125,317.8023986816406,251.15896606445312
19,3,421.8038635253906,192.17596435546875,427.1983337402344,210.87835693359375
20,2,278.24444580078125,353.1693115234375,321.0557861328125,493.1022033691406
21,4,340.81097412109375,283.69287109375,349.815185546875,302.18939208984375
22,3,511.25885009765625,103.70346069335938,559.8831787109375,254.3773956298828
22,5,517.73828125,294.65545654296875,597.3504638671875,351.4254455566406
23,5,290.17169189453125,309.5383605957031,384.0892333984375,404.85980224609375
23,3,482.80792236328125,140.677001953125,491.76031494140625,168.96006774902344
23,3,528.9835205078125,103.35966491699219,541.659423828125,137.48788452148438
25,5,268.5526123046875,305.8471984863281,333.03912353515625,397.4779357910156
26,5,268.6743469238281,312.801025390625,332.9281005859375,396.61212158203125
27,3,495.4476013183594,73.09452056884766,544.0259399414062,234.85533142089844
28,5,265.0282897949219,314.70361328125,419.9801330566406,505.99810791015625
29,2,282.0217590332031,353.2200927734375,321.55841064453125,491.326416015625
29,3,368.36676025390625,235.67958068847656,378.5958557128906,283.16998291015625
30,2,287.11273193359375,342.4981994628906,313.9071044921875,413.0460205078125
31,5,260.9544677734375,306.50762939453125,341.4424743652344,413.0028076171875
32,5,262.0491638183594,311.5686340332031,430.98681640625,522.1270751953125
33,3,504.1641845703125,71.77484893798828,553.766845703125,233.10769653320312
33,2,522.00390625,318.0691833496094,559.2902221679688,354.43621826171875
34,3,502.2659912109375,108.28804016113281,549.182373046875,256.48028564453125
34,5,518.1845703125,305.3589782714844,576.5623168945312,351.3828125
34,5,237.9788360595703,298.55645751953125,272.2587890625,337.0009765625
35,5,273.05181884765625,301.91058349609375,330.32952880859375,384.1055603027344
36,5,1.4300422668457031,312.07061767578125,173.24884033203125,561.8505859375
37,3,460.7692565917969,134.64657592773438,494.729736328125,259.5771179199219
38,5,286.2785339355469,301.34405517578125,313.6484375,336.9562072753906
39,3,507.8154602050781,106.34314727783203,556.8345336914062,254.7765655517578
40,5,299.64306640625,309.77740478515625,395.14227294921875,436.46502685546875
41,5,2.068645477294922,305.8218078613281,195.4025115966797,507.2264099121094
41,5,221.68792724609375,302.052490234375,268.2738952636719,352.769775390625
42,3,551.5970458984375,112.9694595336914,564.31396484375,148.8543701171875
42,3,499.71240234375,152.56591796875,508.7840881347656,180.36407470703125
42,3,96.90707397460938,177.78256225585938,103.07585144042969,200.58517456054688
42,3,127.53032684326172,196.37667846679688,133.3988800048828,215.9278106689453
42,3,327.757080078125,225.13619995117188,331.9335632324219,242.09066772460938
43,5,310.3727111816406,304.5326843261719,383.3538513183594,410.5220947265625
44,5,214.1539764404297,312.05218505859375,386.16448974609375,528.0858764648438
44,3,474.39532470703125,147.8939208984375,481.90740966796875,175.24237060546875
44,3,445.19232177734375,171.68643188476562,449.9259033203125,194.08181762695312
45,5,246.35617065429688,306.8812255859375,357.62152099609375,447.86004638671875
46,2,279.61328125,354.50421142578125,319.5538024902344,492.5966796875
47,3,552.94677734375,74.95136260986328,598.4834594726562,235.49429321289062
48,1,285.18280029296875,356.28326416015625,312.3312683105469,480.3547668457031
48,3,50.989532470703125,143.408447265625,60.70746612548828,173.6389923095703
48,3,92.01748657226562,168.5800018310547,100.77500915527344,192.8844451904297
48,5,237.2498016357422,300.3228759765625,275.2552490234375,341.48663330078125
49,4,159.57562255859375,275.901611328125,173.48837280273438,307.6961669921875
49,4,155.4932098388672,275.43463134765625,180.14010620117188,312.33734130859375
50,2,282.1050109863281,353.40509033203125,321.3038330078125,491.3042907714844
50,3,368.25213623046875,235.66519165039062,378.5670471191406,283.0526123046875
51,5,287.0955810546875,305.8785400390625,356.27264404296875,399.5660705566406
52,3,507.9366760253906,106.3846435546875,556.4994506835938,254.49777221679688
52,5,291.7340393066406,302.02337646484375,310.9388732910156,327.98846435546875
52,5,517.2642211914062,303.6326599121094,597.0960693359375,352.8682556152344
53,3,483.74249267578125,99.68901062011719,527.3483276367188,259.05511474609375
53,2,161.38449096679688,321.4328918457031,198.45697021484375,389.70135498046875
54,3,551.6790771484375,112.82405090332031,564.0679931640625,148.7991485595703
54,3,499.73529052734375,152.64151000976562,508.7478332519531,180.45523071289062
54,3,96.52420043945312,177.08132934570312,102.906982421875,198.17234802246094
54,3,128.4147491455078,196.5118408203125,133.21823120117188,215.58328247070312
54,3,327.90869140625,224.68734741210938,331.8889465332031,241.7252197265625
55,5,211.36978149414062,302.37152099609375,259.4123229980469,351.25592041015625
55,3,357.72357177734375,247.27447509765625,371.9024353027344,291.8153381347656
56,2,210.44618225097656,345.89276123046875,387.6888427734375,533.2291259765625
56,3,52.53459930419922,145.38385009765625,62.37102508544922,173.23410034179688
56,5,0.0,327.2894287109375,194.68084716796875,574.747314453125
56,3,92.37873840332031,168.7294921875,101.13642883300781,193.06234741210938
56,3,351.8702392578125,197.6667022705078,356.56793212890625,217.0580291748047
57,5,540.3253173828125,282.4517517089844,599.8870849609375,354.75030517578125
57,3,514.785888671875,94.5103988647461,565.3641357421875,253.9680633544922
57,5,200.44851684570312,312.1880187988281,252.38348388671875,369.60906982421875
58,5,262.66656494140625,307.72613525390625,427.0643310546875,528.3243408203125
59,2,431.697021484375,306.2749938964844,525.7205810546875,363.2984924316406
60,5,36.086082458496094,310.80279541015625,134.04025268554688,364.7257995605469
60,3,536.2908325195312,72.04611206054688,595.369140625,246.84539794921875
61,3,52.41810607910156,145.32186889648438,62.028751373291016,173.31553649902344
61,2,206.91036987304688,344.134033203125,388.9757080078125,535.1945190429688
61,3,92.40203094482422,168.62802124023438,101.14803314208984,192.95761108398438
61,3,351.886474609375,197.65689086914062,356.57769775390625,217.35714721679688
62,3,371.5611572265625,234.1094512939453,382.3807373046875,283.9193115234375
62,2,255.75930786132812,341.54193115234375,342.4302673339844,540.2696533203125
62,5,254.46409606933594,344.0219421386719,347.0728759765625,536.59375
